t,delta,force,overlap,vel
3.288e-08,6.34235914969813e-07,-5.28124333383631e-08,7.64085030186994e-10,-2.02041015974641
3.29e-08,6.34195497167993e-07,-5.22966254060467e-08,8.04502832006986e-10,-2.02136533486512
3.292e-08,6.34155060356418e-07,-5.17782397517772e-08,8.44939643582008e-10,-2.02231111178359
3.294e-08,6.34114604723521e-07,-5.12570476097932e-08,8.85395276478993e-10,-2.02324744157298
3.296e-08,6.34074130458755e-07,-5.07309914950619e-08,9.2586954124494e-10,-2.02417425452824
3.298e-08,6.3403363775334e-07,-5.02026503008075e-08,9.66362246659938e-10,-2.02509148568259
3.3e-08,6.33993126799328e-07,-4.96708092642031e-08,1.00687320067197e-09,-2.02599908246573
3.302e-08,6.33952597790041e-07,-4.91349006654835e-08,1.047402209959e-09,-2.02689697610915
3.304e-08,6.33912050920283e-07,-4.85967296514986e-08,1.08794907971691e-09,-2.02778510908936
3.306e-08,6.33871486385678e-07,-4.80544073745118e-08,1.12851361432194e-09,-2.02866342312228
3.308e-08,6.33830904383358e-07,-4.75087705948715e-08,1.169095616642e-09,-2.02953185036301
3.31e-08,6.33790305111663e-07,-4.69608947006542e-08,1.20969488833692e-09,-2.03039034034324
3.312e-08,6.33749688769745e-07,-4.64082553705908e-08,1.25031123025495e-09,-2.03123882942752
3.314e-08,6.33709055558486e-07,-4.58530140597696e-08,1.29094444151398e-09,-2.03207725068287
3.316e-08,6.33668405679717e-07,-4.52953002832697e-08,1.33159432028299e-09,-2.03290555799542
3.318e-08,6.33627739336166e-07,-4.47327622911371e-08,1.37226066383397e-09,-2.03372368505681
3.32e-08,6.33587056732315e-07,-4.41680395461893e-08,1.4129432676849e-09,-2.03453156817329
3.322e-08,6.3354635807344e-07,-4.36002543245545e-08,1.45364192656e-09,-2.03532915966083
3.324e-08,6.33505643565929e-07,-4.3028333175273e-08,1.494356434071e-09,-2.03611639410415
3.326e-08,6.33464913417675e-07,-4.24542516357389e-08,1.535086582325e-09,-2.03689321428569
3.328e-08,6.33424167837357e-07,-4.18765519066058e-08,1.57583216264294e-09,-2.03765956769278
3.33e-08,6.33383407034968e-07,-4.12953692628103e-08,1.616592965032e-09,-2.03841538979437
3.332e-08,6.33342631221766e-07,-4.07120511986856e-08,1.65736877823392e-09,-2.03916062953403
3.334e-08,6.33301840609786e-07,-4.0124591324146e-08,1.69815939021391e-09,-2.03989522986763
3.336e-08,6.33261035412571e-07,-3.95342685779484e-08,1.7389645874289e-09,-2.04061912714035
3.338e-08,6.33220215844701e-07,-3.89418359750468e-08,1.77978415529901e-09,-2.04133227616269
3.34e-08,6.33179382121524e-07,-3.83447679556409e-08,1.82061787847594e-09,-2.0420346156372
