t,delta,force,overlap,vel
6.094e-08,3.47525019968443e-06,0,-2.84025019968443e-06,62.3343351094227
6.096e-08,3.47649688638661e-06,0,-2.84149688638661e-06,62.3343351094227
6.098e-08,3.4777435730888e-06,0,-2.8427435730888e-06,62.3343351094227
6.1e-08,3.47899025979099e-06,0,-2.84399025979099e-06,62.3343351094227
6.102e-08,3.48023694649318e-06,0,-2.84523694649318e-06,62.3343351094227
6.104e-08,3.48148363319537e-06,0,-2.84648363319537e-06,62.3343351094227
6.106e-08,3.48273031989756e-06,0,-2.84773031989756e-06,62.3343351094227
6.108e-08,3.48397700659974e-06,0,-2.84897700659974e-06,62.3343351094227
6.11e-08,3.48522369330193e-06,0,-2.85022369330193e-06,62.3343351094227
6.112e-08,3.48647038000412e-06,0,-2.85147038000412e-06,62.3343351094227
6.114e-08,3.48771706670631e-06,0,-2.85271706670631e-06,62.3343351094227
6.116e-08,3.4889637534085e-06,0,-2.8539637534085e-06,62.3343351094227
6.118e-08,3.49021044011069e-06,0,-2.85521044011069e-06,62.3343351094227
6.12e-08,3.49145712681288e-06,0,-2.85645712681288e-06,62.3343351094227
6.122e-08,3.49270381351506e-06,0,-2.85770381351506e-06,62.3343351094227
6.124e-08,3.49395050021725e-06,0,-2.85895050021725e-06,62.3343351094227
6.126e-08,3.49519718691944e-06,0,-2.86019718691944e-06,62.3343351094227
6.128e-08,3.49644387362163e-06,0,-2.86144387362163e-06,62.3343351094227
6.13e-08,3.49769056032382e-06,0,-2.86269056032382e-06,62.3343351094227
6.132e-08,3.49893724702601e-06,0,-2.86393724702601e-06,62.3343351094227
6.134e-08,3.50018393372819e-06,0,-2.86518393372819e-06,62.3343351094227
6.136e-08,3.50143062043038e-06,0,-2.86643062043038e-06,62.3343351094227
6.138e-08,3.50267730713257e-06,0,-2.86767730713257e-06,62.3343351094227
6.14e-08,3.50392399383476e-06,0,-2.86892399383476e-06,62.3343351094227
6.142e-08,3.50517068053695e-06,0,-2.87017068053695e-06,62.3343351094227
6.144e-08,3.50641736723914e-06,0,-2.87141736723914e-06,62.3343351094227
6.146e-08,3.50766405394133e-06,0,-2.87266405394133e-06,62.3343351094227
6.148e-08,3.50891074064351e-06,0,-2.87391074064351e-06,62.3343351094227
6.15e-08,3.5101574273457e-06,0,-2.8751574273457e-06,62.3343351094227
6.152e-08,3.51140411404789e-06,0,-2.87640411404789e-06,62.3343351094227
6.154e-08,3.51265080075008e-06,0,-2.87765080075008e-06,62.3343351094227
6.156e-08,3.51389748745227e-06,0,-2.87889748745227e-06,62.3343351094227
6.158e-08,3.51514417415446e-06,0,-2.88014417415446e-06,62.3343351094227
6.16e-08,3.51639086085664e-06,0,-2.88139086085664e-06,62.3343351094227
6.162e-08,3.51763754755883e-06,0,-2.88263754755883e-06,62.3343351094227
6.164e-08,3.51888423426102e-06,0,-2.88388423426102e-06,62.3343351094227
6.166e-08,3.52013092096321e-06,0,-2.88513092096321e-06,62.3343351094227
6.168e-08,3.5213776076654e-06,0,-2.8863776076654e-06,62.3343351094227
6.17e-08,3.52262429436759e-06,0,-2.88762429436759e-06,62.3343351094227
6.172e-08,3.52387098106978e-06,0,-2.88887098106978e-06,62.3343351094227
