TIMESTEP CONTACTS
120102	26781
1.7892e-06 -1.30329e-05 3.10542e-06 
0 0 -0 
-4.35888e-08 2.97354e-06 -3.40152e-06 
0 -0 0 
-0 -0 0 
-0 0 0 
-2.56582e-06 -2.25231e-07 -2.6457e-06 
0 0 0 
-0 0 0 
3.40513e-06 -1.27702e-06 -1.22137e-09 
-0 0 0 
3.10522e-06 -1.96377e-06 -3.8861e-08 
-8.05449e-06 -9.18675e-06 -6.3772e-07 
-0 -0 0 
0 0 0 
-0 -0 0 
9.42437e-07 -2.33261e-06 -3.31923e-06 
1.37335e-06 -3.50287e-07 -1.80009e-08 
-0 0 0 
1.37203e-07 1.41701e-07 5.19148e-09 
-0 -0 0 
2.57457e-06 -4.62514e-06 -8.589e-06 
0 0 0 
0 -0 0 
-1.50544e-06 -1.34519e-06 -5.7414e-08 
1.95671e-06 -7.87901e-06 -3.17587e-07 
-0 -0 0 
-0 -0 0 
1.80856e-06 -2.35388e-06 -5.94158e-06 
0 0 0 
0 0 0 
-0 0 0 
-2.30967e-06 -3.01584e-06 -1.21944e-06 
0 0 0 
-0 -0 0 
-0 -0 0 
0 -0 0 
-5.11461e-07 9.29349e-07 1.44973e-06 
0 0 0 
-9.73367e-07 4.92927e-07 -3.1978e-07 
4.10196e-06 -1.30683e-06 -4.61207e-08 
-4.25259e-09 3.42885e-08 2.73803e-10 
-3.80546e-06 -2.47224e-06 -3.06731e-07 
-0 -0 0 
-9.77302e-09 8.74796e-07 -1.06123e-06 
-8.4505e-07 1.05426e-06 1.88237e-06 
0 0 0 
0 0 0 
-9.08669e-08 4.28484e-08 2.9835e-08 
1.72739e-10 1.43083e-07 -3.06472e-08 
0 0 -0 
-0 -0 0 
0 -0 0 
-3.13016e-06 -8.06129e-07 1.88024e-06 
-5.64127e-08 2.89777e-07 -7.79826e-07 
0 0 0 
3.25626e-08 -2.20576e-06 -2.59051e-06 
3.57516e-08 8.59962e-07 -1.17455e-08 
1.1329e-08 9.14471e-08 -1.70102e-07 
-0 0 0 
-4.99491e-07 -7.2553e-06 -1.20245e-05 
0 0 0 
-1.81391e-07 -1.27993e-07 -5.30687e-09 
0 0 0 
-1.66238e-07 1.28092e-07 -3.69851e-07 
0 -0 -0 
0 -0 -0 
-1.14574e-08 -6.53011e-08 6.04843e-08 
-3.27081e-08 9.44928e-08 -1.16791e-08 
-0 -0 0 
3.76519e-08 -6.51972e-09 6.00393e-08 
0 0 0 
0 0 0 
0 0 0 
2.72436e-07 -1.49266e-07 2.80492e-07 
0 0 0 
4.50383e-06 -5.98126e-06 -3.37321e-07 
0 0 -0 
-0 -0 0 
-1.71896e-06 -5.75632e-06 -9.06993e-06 
0 0 -0 
0 -0 -0 
-0 -0 0 
-0 -0 0 
-6.21458e-07 -1.82459e-06 3.70381e-06 
-2.15067e-06 1.99569e-06 -6.93693e-07 
-0 0 0 
-0 0 0 
-9.14438e-07 -3.13249e-06 -5.13527e-06 
2.64739e-06 1.22258e-06 3.02208e-07 
0 0 0 
0 0 0 
-6.13436e-07 1.51596e-06 -1.81145e-08 
0 -0 -0 
7.54713e-07 -7.67498e-07 1.41005e-08 
0 0 0 
-1.97759e-07 -7.20537e-07 -7.84389e-09 
-0 0 0 
5.42678e-08 -3.2876e-08 8.16683e-08 
-0 0 0 
-2.98585e-06 -1.17008e-06 7.81438e-08 
0 0 0 
2.26848e-07 2.42072e-06 -4.69747e-06 
0 -0 0 
-1.01655e-07 -4.58068e-07 -5.63973e-07 
0 0 0 
2.16642e-06 -6.10524e-06 -1.52785e-06 
0 0 0 
-0 -0 0 
-0 0 0 
0 0 0 
0 -0 0 
-5.29676e-06 2.47254e-06 1.01907e-07 
0 0 0 
3.93143e-06 -6.41669e-06 3.77458e-08 
-2.46206e-06 -4.36073e-06 7.7525e-09 
0 -0 0 
-0 0 0 
3.93478e-08 7.86176e-08 -1.52351e-07 
-4.11446e-09 5.06129e-08 7.7019e-08 
-2.53148e-07 -2.71884e-06 -2.69583e-06 
0 0 -0 
-6.58249e-06 1.34277e-06 -1.31015e-06 
-0 0 0 
6.21955e-07 1.66135e-06 -3.7303e-06 
-0 -0 0 
0 0 0 
1.60895e-06 1.07468e-07 -1.68343e-06 
0 -0 -0 
-9.56761e-09 1.18307e-08 -1.40248e-08 
-1.78484e-06 -3.90171e-06 1.26488e-06 
-0 -0 0 
-0 -0 0 
-0 0 0 
4.92583e-07 6.07415e-07 -1.60302e-06 
0 0 0 
-6.26869e-07 6.01466e-07 -5.32384e-07 
-0 0 0 
0 0 0 
-0 0 0 
-6.57017e-07 2.78221e-06 -5.99228e-07 
0 -0 0 
-0 0 0 
1.38383e-06 -4.03523e-06 -2.10545e-06 
1.24474e-06 1.46536e-06 7.25609e-08 
-4.02245e-07 -4.43177e-08 -6.39194e-07 
-0 -0 0 
0 0 -0 
-0 -0 0 
0 -0 0 
0 0 0 
-2.30175e-06 -1.93131e-07 -2.71763e-06 
-0 0 0 
-1.84582e-06 1.89634e-07 -5.01512e-09 
1.28549e-06 -2.80889e-06 -3.93216e-08 
-1.61108e-06 -2.22855e-06 -1.76542e-08 
2.91146e-06 -1.18853e-06 -4.18574e-06 
-0 -0 0 
