TIMESTEP CONTACTS
120102	26781
2.88291e-07 -1.44061e-07 2.67863e-07 
0 0 0 
4.43105e-06 -6.03501e-06 -3.55935e-07 
0 0 0 
0 0 0 
-1.76416e-06 -5.67153e-06 -9.11518e-06 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-6.10889e-07 -1.89325e-06 3.67176e-06 
-2.15894e-06 2.03707e-06 -5.48978e-07 
0 0 0 
0 0 0 
-7.71062e-07 -3.19507e-06 -5.12263e-06 
2.6404e-06 1.22167e-06 3.67158e-07 
0 0 0 
0 0 0 
-5.66991e-07 1.53471e-06 -2.2301e-08 
0 0 0 
7.44398e-07 -7.77521e-07 2.05978e-08 
0 0 0 
-1.62528e-07 -7.30196e-07 -8.86013e-09 
0 0 0 
5.09766e-08 -3.6819e-08 8.22681e-08 
0 0 0 
-2.95879e-06 -1.23904e-06 7.9743e-08 
0 0 0 
2.30995e-07 2.3571e-06 -4.73006e-06 
0 0 0 
-1.35705e-07 -4.45142e-07 -5.68334e-07 
0 0 0 
2.20857e-06 -6.09889e-06 -1.49344e-06 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-5.24563e-06 2.5877e-06 -3.46884e-08 
0 0 0 
4.02446e-06 -6.36047e-06 -9.5179e-08 
-2.50572e-06 -4.33581e-06 1.59083e-07 
0 0 0 
0 0 0 
3.86729e-08 8.64771e-08 -1.48469e-07 
-3.51933e-09 5.44445e-08 7.45328e-08 
-2.67407e-07 -2.66414e-06 -2.74966e-06 
0 0 0 
-6.61997e-06 1.19238e-06 -1.27598e-06 
0 0 0 
5.85358e-07 1.80186e-06 -3.67382e-06 
0 0 0 
0 0 0 
1.62104e-06 1.41107e-07 -1.66973e-06 
0 0 0 
-1.04263e-08 1.18204e-08 -1.34477e-08 
-1.75859e-06 -3.92921e-06 1.21707e-06 
0 0 0 
0 0 0 
0 0 0 
4.88194e-07 5.35534e-07 -1.6316e-06 
0 0 0 
-6.25866e-07 5.68296e-07 -5.71039e-07 
0 0 0 
0 0 0 
0 0 0 
-6.39303e-07 2.81438e-06 -4.69305e-07 
0 0 0 
0 0 0 
1.41699e-06 -4.071e-06 -2.0151e-06 
1.25859e-06 1.45493e-06 4.55383e-08 
-4.16038e-07 -7.77764e-08 -6.28194e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-2.25303e-06 -2.02673e-07 -2.75822e-06 
0 0 0 
-1.84977e-06 1.50071e-07 -4.62947e-08 
1.33988e-06 -2.7839e-06 -4.60918e-08 
-1.59441e-06 -2.2409e-06 2.06489e-08 
2.89567e-06 -1.11581e-06 -4.21738e-06 
0 0 0 
0 0 0 
0 0 0 
-2.60331e-06 1.06102e-06 6.60683e-08 
9.0388e-07 -2.0065e-06 -8.79054e-09 
0 0 0 
0 0 0 
4.69514e-09 1.25856e-08 -1.81778e-08 
0 0 0 
0 0 0 
9.587e-07 1.48232e-06 5.42469e-08 
0 0 0 
1.08538e-06 -6.25984e-07 -8.15617e-08 
0 0 0 
-2.05357e-06 -8.55773e-07 1.18635e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.41763e-08 -1.52641e-09 1.64605e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.01591e-07 -1.54392e-07 -3.08168e-07 
4.28774e-07 4.16671e-08 5.28483e-07 
0 0 0 
-7.87738e-06 3.46373e-06 3.40567e-08 
4.53266e-07 -1.25103e-05 5.6149e-07 
0 0 0 
0 0 0 
