TIMESTEP CONTACTS
120102	26781
0 0 0 
0 0 0 
2.57967e-08 -5.89239e-08 4.87336e-08 
-1.31775e-08 -5.24209e-08 1.47232e-08 
0 0 0 
4.72465e-09 -4.63472e-09 1.63871e-09 
0 0 0 
-1.07477e-07 1.09196e-07 -9.10178e-08 
0 0 0 
0 0 0 
2.95638e-08 -3.40563e-08 2.27421e-08 
3.56116e-07 9.05478e-08 -5.22995e-08 
0 0 0 
0 0 0 
1.04665e-08 -8.59353e-10 3.52633e-09 
0 0 0 
0 0 0 
0 0 0 
1.21271e-08 7.25595e-09 -4.09142e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.58698e-09 -1.01947e-08 5.97544e-09 
0 0 0 
-3.37327e-09 -1.86579e-08 -1.84925e-08 
-2.27424e-08 -6.87219e-08 -7.54704e-08 
1.70079e-09 2.09185e-10 2.19571e-10 
-6.23015e-09 9.3844e-09 1.65635e-09 
0 0 0 
2.69304e-08 -3.23048e-09 -2.91096e-09 
6.01318e-08 2.28892e-08 1.41753e-08 
0 0 0 
0 0 0 
7.00244e-10 7.45976e-10 1.06134e-09 
-5.1635e-10 5.59197e-10 2.60783e-09 
0 0 0 
0 0 0 
0 0 0 
-2.14213e-08 1.00071e-08 -3.13711e-08 
2.59593e-08 7.48141e-09 9.02129e-10 
0 0 0 
-3.73238e-08 -1.77295e-08 1.46272e-08 
-3.19239e-09 2.15104e-10 6.03196e-09 
-8.95407e-11 1.70195e-10 8.55334e-11 
0 0 0 
-1.84532e-10 -4.41101e-11 3.42805e-11 
0 0 0 
-5.26977e-09 7.19399e-09 6.61504e-09 
0 0 0 
2.4458e-09 -1.22424e-10 -1.14172e-09 
0 0 0 
0 0 0 
1.86776e-09 -2.94271e-09 -2.82326e-09 
-6.7582e-10 -8.4161e-10 -4.91658e-09 
0 0 0 
6.0484e-10 -3.4252e-09 -7.51253e-10 
0 0 0 
0 0 0 
0 0 0 
1.58541e-08 5.20406e-09 -1.26294e-08 
0 0 0 
-7.27729e-08 -5.37475e-08 -1.86143e-08 
0 0 0 
0 0 0 
-4.51989e-08 8.47913e-08 -4.52474e-08 
0 0 0 
0 0 0 
0 0 0 
